Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
,,,,Final,,W. CC,M. CC,,W. FH,,FBS FB,,FCS FB,,W. SOC,,M. SOC,,W. VB,,,M. WP
Rank,Institution,Conference,Division,Fall,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
48,Minnesota,Big Ten,FBS,137.00,33,28,0,0,0,0,26,45,0,0,0,0,0,0,9,64,0,0
70,Nebraska,Big Ten,FBS,98.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,5,73,0,0
89,Illinois,Big Ten,FBS,74.00,0,0,0,0,0,0,25,49,0,0,33,25,0,0,0,0,0,0
91,Maryland,Big Ten,FBS,73.00,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0
91,Purdue,Big Ten,FBS,73.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0
72,UC Davis,Big West,FCS,95.00,0,0,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0
75,Cal Poly,Big West,FCS,89.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,9,64,0,0
140,Hawaii,Big West,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
154,UC Irvine,Big West,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
107,Hofstra,CAA,DI,64.00,0,0,0,0,0,0,0,0,0,0,0,0,9,64,0,0,0,0
126,Elon,CAA,FCS,50.00,0,0,0,0,0,0,0,0,0,0,33,25,33,25,0,0,0,0
154,Campbell,CAA,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
154,Drexel,CAA,DI,25.00,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,0,0,0
96,Liberty,Conference USA,FBS,70.00,0,0,0,0,9,45,0,0,0,0,33,25,0,0,0,0,0,0
96,Western Kentucky,Conference USA,FBS,70.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,33,25,0,0
140,Delaware,Conference USA,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
140,Jacksonville State,Conference USA,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
140,Louisiana Tech,Conference USA,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
154,FIU,Conference USA,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,Kennesaw State,Conference USA,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,Missouri State,Conference USA,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
154,UTEP,Conference USA,FBS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
154,Cleveland State,Horizon League,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
154,Wisconsin Milwaukee,Horizon League,DI,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
154,Wright State,Horizon League,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
154,Youngstown State,Horizon League,FCS,25.00,0,0,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0
7,Princeton,Ivy League,FCS,265.00,33,28,27,47,2,90,0,0,0,0,0,0,17,50,33,25,0,0
35,Harvard,Ivy League,FCS,153.00,0,0,29,45,3,83,0,0,17,25,0,0,0,0,0,0,3,55
35,Yale,Ivy League,FCS,153.00,33,28,33,27,9,45,0,0,9,53,0,0,0,0,0,0,0,0
126,Cornell,Ivy League,FCS,50.00,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0
154,Dartmouth,Ivy League,FCS,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
96,Fairfield,MAAC,DI,70.00,0,0,0,0,9,45,0,0,0,0,0,0,0,0,33,25,0,0
153,Iona,MAAC,DI,42.00,0,0,32,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Sacred Heart,MAAC,FCS,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
154,Siena,MAAC,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0
57,Western Michigan,MAC,FBS,120.00,0,0,0,0,0,0,26,45,0,0,33,25,17,50,0,0,0,0
73,Miami (OH),MAC,FBS,90.00,0,0,0,0,5,65,54,25,0,0,0,0,0,0,0,0,0,0
80,Toledo,MAC,FBS,78.00,33,28,0,0,0,0,54,25,0,0,0,0,0,0,33,25,0,0
91,Akron,MAC,FBS,73.00,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0
140,Ohio,MAC,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
154,Central Michigan,MAC,FBS,25.00,0,0,0,0,0,0,54,25,0,0,0,0,0,0,0,0,0,0
140,South Carolina State,MEAC,FCS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
154,Coppin State,MEAC,DI,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
73,Illinois State,Missouri Valley,FCS,90.00,0,0,0,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0
126,Northern Iowa,Missouri Valley,FCS,50.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0
154,Drake,Missouri Valley,FCS,25.00,0,0,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0
154,Illinois Chicago,Missouri Valley,DI,25.00,0,0,0,0,0,0,0,0,0,0,33,25,0,0,0,0,0,0
23,New Mexico,Mountain West,FBS,195.00,4,80,2,90,0,0,54,25,0,0,0,0,0,0,0,0,0,0
